Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value
Admiral Schofield,1.36,0.17,0.23,0.08,2.99,5.79
Bol Bol,4.4,0.87,0.43,0.77,9.61,19.8
Brandon Clarke,5.73,1.24,0.68,1.0,8.9,22.66
Bruno Fernando,4.87,1.2,0.53,0.7,8.6,19.92
Cam Reddish,1.96,1.47,0.72,0.29,7.84,15.43
Cameron Johnson,2.32,0.65,0.43,0.32,3.99,10.0
Carsen Edwards,1.47,1.26,0.44,0.07,6.21,11.39
Chuma Okeke,2.5,0.71,0.53,0.32,4.05,10.66
Coby White,2.67,2.87,0.75,0.22,10.89,21.32
Darius Garland,2.82,2.33,0.6,0.26,9.97,19.41
DeAndre Hunter,3.5,1.48,0.55,0.34,8.7,17.79
Dylan Windler,2.93,1.25,0.54,0.38,5.62,13.79
Grant Williams,3.27,0.82,0.44,0.48,5.74,13.66
Ignas Brazdeikis,1.18,-0.01,0.14,0.04,2.85,4.8
Isaiah Roby,2.35,0.46,0.39,0.49,3.69,9.86
Ja Morant,3.9,5.32,0.94,0.36,11.85,28.39
Jalen McDaniels,2.58,0.56,0.37,0.21,3.93,9.6
Jarrett Culver,3.33,2.2,0.77,0.34,9.48,20.1
Jaxson Hayes,5.44,0.67,0.64,0.95,8.88,21.16
Jaylen Hands,0.95,1.66,0.36,-0.01,3.19,7.88
Jaylen Hoard,1.67,0.15,0.14,0.12,2.79,5.8
Jaylen Nowell,1.18,1.01,0.36,0.04,3.76,7.87
Jontay Porter,1.66,0.27,0.26,0.38,2.75,7.08
Jordan Bone,1.23,1.74,0.32,0.02,3.84,8.93
Keldon Johnson,2.26,1.04,0.44,0.17,5.83,11.93
Kevin PorterJr,1.85,1.06,0.48,0.27,4.73,10.78
Kris Wilkes,1.34,0.3,0.22,0.11,3.41,6.46
Louis King,1.34,0.37,0.29,0.07,3.49,6.74
Luguentz Dort,1.04,0.94,0.46,0.05,3.93,8.14
Matisse Thybulle,1.89,1.39,0.98,0.45,4.87,13.5
Mfiondu Kabengele,3.91,0.78,0.5,0.55,7.77,16.77
Miye Oni,0.99,0.8,0.22,0.21,3.0,6.68
Nassir Little,3.53,1.14,0.52,0.33,8.23,16.73
Naz Reid,2.51,0.48,0.38,0.29,5.33,11.07
Nickeil Alexander-Walker,2.32,1.93,0.68,0.26,7.23,15.74
Nicolas Claxton,3.48,0.66,0.46,0.68,5.24,13.83
PJ Washington,3.7,1.14,0.56,0.44,6.7,15.86
RJ Barrett,3.83,2.86,0.68,0.24,12.69,24.36
Romeo Langford,2.26,1.18,0.39,0.27,6.37,12.84
Rui Hachimura,3.8,1.25,0.5,0.37,7.9,16.93
Sagaba Konate,2.17,-0.06,0.18,0.62,3.1,7.99
Tacko Fall,4.3,0.16,0.26,0.89,4.01,12.86
Terance Mann,2.35,1.18,0.48,0.18,4.56,11.12
Ty Jerome,1.73,2.01,0.63,0.08,5.27,12.48
Tyler Cook,3.02,0.75,0.36,0.24,4.5,11.04
Tyler Herro,2.12,1.61,0.53,0.14,7.05,14.0
Zion Williamson,6.7,2.76,1.28,0.7,14.48,32.6
