,Name,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Pk,Tm,Year,Pos
427,Andrew Wiggins,Kansas,35.0,32.8,5.4,12.1,0.448,4.2,8.5,0.493,1.2,3.6,0.341,5.0,6.5,0.775,5.9,1.5,1.2,1.0,2.3,2.7,17.1,11.4,4.6,2.1,1.0,0.6,16.9,1,CLE,2014,SF
428,Jabari Parker,Duke,35.0,30.7,6.7,14.3,0.473,5.7,11.2,0.504,1.1,3.0,0.358,4.6,6.1,0.748,8.7,1.2,1.1,1.2,2.3,2.4,19.1,8.48,5.5,1.7,1.2,0.2,12.3,2,MIL,2014,PF
429,Joel Embiid,Kansas,28.0,23.1,3.8,6.1,0.626,3.8,5.9,0.639,0.0,0.2,0.2,3.5,5.1,0.685,8.1,1.4,0.9,2.6,2.4,3.4,11.2,11.4,7.8,2.1,0.9,2.5,20.2,3,PHI,2014,C
430,Aaron Gordon,Arizona,38.0,31.2,5.0,10.1,0.495,4.6,8.9,0.513,0.4,1.2,0.35600000000000004,2.0,4.7,0.422,8.0,2.0,0.9,1.0,1.4,2.4,12.4,9.04,3.6,0.7,0.4,0.5,5.2,4,ORL,2014,PF
431,Marcus Smart,Oklahoma State,64.0,33.1,4.9,11.9,0.413,3.5,7.3,0.488,1.4,4.6,0.295,5.5,7.3,0.7509999999999999,5.9,4.5,2.9,0.6,3.0,2.9,16.6,7.53,3.3,3.1,1.5,0.3,7.8,6,BOS,2014,PG
432,Julius Randle,Kentucky,40.0,30.8,4.9,9.8,0.501,4.8,9.3,0.517,0.1,0.5,0.16699999999999998,5.1,7.2,0.706,10.4,1.4,0.5,0.8,2.5,2.3,15.0,9.89,0.0,0.0,0.0,0.0,2.0,7,LAL,2014,PF
433,Nik Stauskas,Michigan,75.0,32.9,4.3,9.2,0.467,2.0,4.0,0.5,2.3,5.2,0.441,3.2,3.9,0.8320000000000001,2.9,2.3,0.6,0.3,1.5,1.0,14.1,9.85,1.2,0.9,0.3,0.2,4.4,8,SAC,2014,SG
434,Noah Vonleh,Indiana,30.0,26.5,3.8,7.2,0.523,3.2,6.1,0.53,0.5,1.1,0.485,3.2,4.5,0.716,9.0,0.6,0.9,1.4,2.1,2.7,11.3,6.64,3.4,0.2,0.2,0.4,3.3,9,CHH,2014,PF
435,Elfrid Payton,Louisiana,100.0,31.6,5.0,10.3,0.485,4.7,9.2,0.512,0.3,1.1,0.268,3.9,6.5,0.611,5.1,4.9,2.0,0.5,3.4,2.3,14.3,-1.6,4.3,6.5,1.7,0.2,8.9,10,PHI,2014,PG
436,Doug McDermott,Creighton,145.0,31.5,7.9,14.3,0.55,6.0,10.2,0.5870000000000001,1.9,4.1,0.458,4.1,4.9,0.831,7.5,1.3,0.2,0.1,2.2,1.8,21.7,4.29,1.2,0.2,0.1,0.0,3.0,11,DEN,2014,SF
437,Zach LaVine,UCLA,37.0,24.4,3.4,7.8,0.441,2.1,4.3,0.494,1.3,3.5,0.375,1.3,1.8,0.691,2.5,1.8,0.9,0.2,1.1,2.0,9.4,7.62,2.8,3.6,0.7,0.1,10.1,13,MIN,2014,PG
438,Adreian Payne,Michigan State,138.0,20.0,3.2,6.2,0.526,2.8,5.1,0.551,0.4,1.1,0.409,2.0,2.7,0.755,5.3,0.6,0.6,1.0,1.4,2.2,8.9,10.35,5.1,0.9,0.6,0.3,6.7,15,ATL,2014,PF
439,James Young,Kentucky,40.0,32.4,4.6,11.3,0.407,2.5,5.4,0.47,2.1,5.9,0.349,3.1,4.4,0.706,4.3,1.7,0.8,0.2,1.9,2.1,14.3,9.89,1.4,0.4,0.3,0.1,3.4,17,BOS,2014,SG
440,Tyler Ennis,Syracuse,34.0,35.7,4.4,10.6,0.411,3.5,8.1,0.429,0.9,2.5,0.353,3.4,4.4,0.765,3.4,5.5,2.1,0.2,1.7,2.0,12.9,7.25,1.1,2.2,0.5,0.2,3.7,18,PHO,2014,PG
441,Gary Harris,Michigan State,69.0,31.0,5.0,11.4,0.44,2.9,5.7,0.503,2.1,5.6,0.376,2.7,3.5,0.7879999999999999,3.3,2.0,1.6,0.3,1.6,2.0,14.9,9.96,1.2,0.5,0.7,0.1,3.4,19,CHI,2014,SG
442,Mitch McGary,Michigan,47.0,20.6,3.5,5.9,0.588,3.5,5.9,0.5920000000000001,0.0,0.0,0.0,0.8,1.6,0.513,6.6,0.8,1.2,0.7,1.3,2.5,7.8,9.85,5.2,0.4,0.5,0.5,6.3,21,OKC,2014,PF
443,Jordan Adams,UCLA,69.0,30.2,5.4,11.6,0.467,4.0,7.3,0.5479999999999999,1.4,4.3,0.331,4.2,5.0,0.8390000000000001,4.6,2.1,2.4,0.2,1.4,2.1,16.4,7.72,0.9,0.5,0.5,0.2,3.1,22,MEM,2014,SG
444,Shabazz Napier,UConn,143.0,32.3,4.2,10.1,0.411,2.3,5.3,0.444,1.8,4.8,0.375,3.6,4.4,0.813,4.0,4.5,1.8,0.2,2.4,2.1,13.7,8.64,2.2,2.5,0.8,0.1,5.1,24,CHH,2014,PG
445,Josh Huestis,Stanford,135.0,25.0,2.9,6.4,0.451,2.4,4.9,0.4920000000000001,0.5,1.5,0.319,1.3,2.1,0.61,6.2,0.8,0.5,1.4,0.9,1.7,7.5,6.38,2.0,0.0,0.2,0.4,2.8,29,OKC,2014,PF
446,Joe Harris,Central Arkansas,15.0,10.1,1.3,2.8,0.452,0.7,1.2,0.556,0.6,1.6,0.375,0.0,0.3,0.0,1.6,0.3,0.2,0.0,0.4,0.7,3.1,-4.83,0.8,0.5,0.1,0.0,2.7,33,CLE,2014,SG
447,Cleanthony Early,Wichita State,75.0,26.2,4.9,10.5,0.47,3.4,6.2,0.555,1.5,4.3,0.348,3.7,4.6,0.8190000000000001,5.7,0.7,0.8,0.8,1.7,2.4,15.1,3.91,2.5,0.9,0.6,0.3,5.4,34,NYK,2014,SF
448,Spencer Dinwiddie,Colorado,86.0,30.1,3.4,8.0,0.42,2.0,4.6,0.446,1.3,3.5,0.386,4.9,5.9,0.83,3.3,2.6,1.1,0.3,1.8,2.1,13.0,7.49,1.4,3.1,0.6,0.2,4.3,38,DET,2014,PG
449,Jerami Grant,Syracuse,72.0,21.9,2.6,5.3,0.486,2.5,5.1,0.496,0.1,0.3,0.3,2.2,3.5,0.6409999999999999,4.7,0.9,0.6,0.5,0.9,1.8,7.5,7.91,3.0,1.2,0.6,1.0,6.3,39,PHI,2014,SF
450,Nick Johnson,Arizona,108.0,30.9,4.1,9.7,0.421,2.8,6.0,0.459,1.3,3.7,0.359,2.8,3.9,0.7340000000000001,3.7,2.8,1.3,0.6,1.8,2.0,12.3,7.04,1.4,0.4,0.3,0.1,2.6,42,HOU,2014,SG
451,Markel Brown,Oklahoma State,134.0,30.5,4.1,9.4,0.439,3.0,6.2,0.486,1.1,3.1,0.34700000000000003,3.0,4.1,0.733,4.3,2.3,1.0,0.8,1.8,2.1,12.4,7.74,2.3,0.8,0.7,0.3,4.6,44,MIN,2014,SG
452,Dwight Powell,Stanford,136.0,26.2,3.8,8.2,0.464,3.5,7.3,0.484,0.2,0.8,0.289,3.0,4.1,0.722,6.3,1.8,0.9,0.9,2.1,2.9,10.8,6.38,1.7,0.3,0.3,0.2,3.1,45,CHH,2014,PF
453,Russ Smith,Louisville,133.0,24.3,4.7,11.3,0.413,3.3,7.4,0.449,1.4,3.9,0.345,3.7,4.8,0.76,2.7,2.8,1.9,0.1,2.4,2.4,14.3,7.79,0.5,0.7,0.3,0.0,2.5,47,PHI,2014,PG
454,Lamar Patterson,Pitt,149.0,24.3,3.2,7.4,0.435,2.1,4.3,0.483,1.1,3.1,0.369,1.9,2.6,0.723,3.9,2.9,1.0,0.3,1.6,1.9,9.5,6.86,1.4,1.1,0.3,0.1,2.4,48,MIL,2014,SG
455,Cameron Bairstow,New Mexico,134.0,20.8,3.1,6.0,0.517,3.1,6.0,0.519,0.0,0.0,0.333,3.0,4.2,0.7170000000000001,4.8,0.8,0.5,0.7,1.2,2.1,9.2,4.93,0.4,0.1,0.1,0.1,0.6,49,CHI,2014,PF
456,Semaj Christon,Xavier,64.0,34.8,5.7,12.3,0.462,5.3,11.1,0.476,0.4,1.2,0.338,4.4,6.6,0.67,2.8,4.4,1.4,0.2,3.1,2.4,16.2,6.55,1.4,2.0,0.4,0.1,2.9,55,MIA,2014,PG
457,Jordan McRae,Tennessee,114.0,27.1,4.4,10.4,0.417,2.8,5.9,0.475,1.6,4.6,0.343,3.1,4.0,0.769,3.3,1.8,0.6,0.9,2.0,1.9,13.3,7.3,0.9,1.1,0.1,0.0,4.5,58,SAS,2014,PG
458,Cory Jefferson,Baylor,130.0,19.9,3.3,6.1,0.5429999999999999,3.2,5.7,0.556,0.1,0.4,0.34,2.2,3.3,0.66,5.6,0.4,0.3,1.3,0.8,1.7,8.9,8.32,2.9,0.3,0.2,0.4,3.7,60,SAS,2014,PF
459,Karl-Anthony Towns,Kentucky,39.0,21.1,3.7,6.6,0.5660000000000001,3.7,6.4,0.5770000000000001,0.1,0.2,0.25,2.8,3.4,0.813,6.7,1.1,0.5,2.3,1.4,2.9,10.3,8.67,10.5,2.0,0.7,1.7,18.3,1,MIN,2015,C
460,Stanley Johnson,Arizona,38.0,28.4,4.6,10.3,0.446,3.4,7.2,0.478,1.1,3.1,0.371,3.5,4.7,0.742,6.5,1.7,1.5,0.4,2.2,2.6,13.8,7.41,4.2,1.6,0.8,0.2,8.1,8,DET,2015,SF
461,Frank Kaminsky,Wisconsin,144.0,20.4,3.7,7.0,0.522,3.0,5.1,0.58,0.7,1.9,0.369,2.1,2.7,0.763,4.6,1.3,0.5,1.1,0.8,1.6,10.1,9.61,4.1,1.2,0.5,0.5,7.5,9,CHO,2015,C
462,Justise Winslow,Duke,39.0,29.1,4.4,9.1,0.486,3.3,6.3,0.516,1.2,2.8,0.418,2.6,4.0,0.6409999999999999,6.5,2.1,1.3,0.9,1.8,2.8,12.6,9.87,5.2,1.5,0.9,0.3,6.4,10,MIA,2015,SF
463,Myles Turner,Texas,34.0,22.2,3.4,7.6,0.455,2.9,5.7,0.513,0.5,1.8,0.274,2.8,3.3,0.8390000000000001,6.5,0.6,0.3,2.6,1.4,2.4,10.1,9.07,5.5,0.7,0.4,1.4,10.3,11,IND,2015,C
464,Trey Lyles,Kentucky,36.0,23.0,3.3,6.7,0.488,3.1,5.9,0.536,0.1,0.8,0.138,2.1,2.8,0.735,5.2,1.1,0.5,0.4,1.1,1.6,8.7,8.67,3.7,0.7,0.3,0.2,6.1,12,UTA,2015,PF
465,Devin Booker,Clemson,128.0,24.1,3.5,7.0,0.496,3.3,6.4,0.518,0.2,0.6,0.275,1.9,2.9,0.6579999999999999,5.7,0.8,0.6,0.6,1.6,2.3,9.0,5.58,2.5,2.6,0.6,0.3,13.8,13,PHO,2015,SG
466,Cameron Payne,Murray State,69.0,32.4,6.3,14.6,0.4320000000000001,4.0,8.3,0.487,2.3,6.3,0.359,3.7,4.7,0.7809999999999999,3.7,5.7,1.8,0.5,2.9,2.4,18.5,-3.19,1.5,1.9,0.6,0.1,5.0,14,OKC,2015,PG
467,Kelly Oubre,Kansas,36.0,21.0,3.1,6.9,0.444,2.1,4.3,0.4970000000000001,0.9,2.6,0.358,2.2,3.1,0.718,5.0,0.8,1.1,0.4,1.2,2.0,9.3,12.13,2.1,0.2,0.3,0.1,3.7,15,ATL,2015,SF
468,Terry Rozier,Louisville,73.0,26.8,4.2,10.3,0.408,3.1,6.8,0.447,1.2,3.5,0.331,2.4,3.1,0.772,4.3,2.4,1.5,0.1,1.4,1.6,12.0,6.89,1.6,0.9,0.2,0.0,1.8,16,BOS,2015,PG
469,Rashad Vaughn,UNLV,23.0,32.3,6.3,14.3,0.439,3.9,8.1,0.481,2.3,6.1,0.383,3.0,4.3,0.6940000000000001,4.8,1.6,0.8,0.3,2.2,2.3,17.8,3.38,1.3,0.6,0.4,0.2,3.1,17,MIL,2015,SG
470,Sam Dekker,Wisconsin,113.0,27.9,4.4,9.0,0.493,3.2,5.3,0.591,1.3,3.6,0.348,2.0,2.8,0.695,5.0,1.3,0.6,0.5,1.0,1.2,12.1,10.07,0.3,0.0,0.3,0.0,0.0,18,HOU,2015,PF
471,Jerian Grant,Notre Dame,119.0,36.4,4.7,10.7,0.436,3.2,6.4,0.498,1.5,4.4,0.345,3.8,4.8,0.79,2.9,5.8,1.5,0.3,2.2,1.8,14.6,6.88,1.9,2.3,0.7,0.1,5.6,19,WAS,2015,PG
472,Delon Wright,Utah,68.0,34.8,5.0,9.3,0.535,4.4,7.5,0.594,0.6,1.9,0.299,4.5,5.5,0.8140000000000001,5.8,5.2,2.3,1.1,2.2,1.6,15.0,6.82,1.4,1.1,0.3,0.1,3.8,20,TOR,2015,PG
473,Justin Anderson,Virginia,98.0,24.1,2.9,6.8,0.43,1.9,4.1,0.481,1.0,2.8,0.35700000000000004,2.0,2.7,0.752,3.5,1.8,0.6,0.9,1.3,1.4,8.9,6.64,2.4,0.5,0.3,0.5,3.8,21,DAL,2015,SF
474,Bobby Portis,Arkansas,70.0,28.5,5.9,11.2,0.526,5.5,10.3,0.54,0.3,0.9,0.365,2.9,3.9,0.737,7.9,1.3,1.1,1.5,1.4,2.0,15.0,6.18,5.4,0.8,0.4,0.4,7.0,22,CHI,2015,PF
475,Rondae Hollis-Jefferson,Arizona,76.0,27.0,3.4,6.9,0.496,3.3,6.4,0.52,0.1,0.5,0.205,3.3,4.7,0.6970000000000001,6.3,1.5,0.9,0.9,1.4,2.4,10.2,8.23,5.3,1.5,1.3,0.6,5.8,23,POR,2015,SF
476,Tyus Jones,Duke,39.0,33.9,3.5,8.3,0.417,2.3,5.1,0.44,1.2,3.2,0.379,3.7,4.2,0.889,3.5,5.6,1.5,0.1,1.9,1.2,11.8,9.87,1.3,2.9,0.8,0.1,4.2,24,CLE,2015,PG
477,Jarell Martin,LSU,65.0,30.7,5.0,10.1,0.494,4.3,8.0,0.541,0.6,2.0,0.308,3.1,4.5,0.6890000000000001,6.9,1.4,1.0,0.7,2.2,2.6,13.7,6.12,3.2,0.6,0.3,0.3,5.7,25,MEM,2015,PF
478,Chris McCullough,Syracuse,16.0,28.1,3.4,7.1,0.478,3.3,7.0,0.473,0.1,0.1,1.0,2.5,4.4,0.563,6.9,1.1,1.7,2.1,2.2,2.6,9.3,7.68,2.8,0.4,1.2,0.5,4.7,29,BRK,2015,PF
479,Kevon Looney,UCLA,36.0,30.9,4.2,8.9,0.47,3.6,7.4,0.481,0.6,1.5,0.415,2.6,4.1,0.626,9.2,1.4,1.3,0.9,1.3,2.9,11.6,8.27,2.0,0.0,0.0,0.0,1.8,30,GSW,2015,PF
480,Montrezl Harrell,Louisville,112.0,26.4,4.8,8.1,0.586,4.7,7.8,0.6,0.1,0.4,0.275,1.9,3.6,0.5329999999999999,6.9,0.9,0.8,1.1,1.3,1.9,11.6,7.64,1.7,0.4,0.3,0.3,3.6,32,HOU,2015,PF
481,Jordan Mickey,LSU,65.0,33.8,5.6,10.8,0.518,5.6,10.6,0.527,0.0,0.2,0.071,2.9,4.3,0.669,8.8,1.2,0.8,3.4,2.8,2.4,14.0,6.12,0.8,0.1,0.0,0.7,1.3,33,BOS,2015,PF
482,Anthony Brown,Oklahoma State,47.0,13.1,1.1,2.4,0.482,1.1,2.2,0.505,0.0,0.1,0.14300000000000002,0.7,1.2,0.569,2.3,0.3,0.3,0.4,0.4,2.0,3.0,7.55,2.4,0.7,0.5,0.2,4.0,34,LAL,2015,SF
483,Richaun Holmes,Bowling Green State,95.0,26.5,4.2,7.7,0.5539999999999999,3.9,6.8,0.58,0.3,0.9,0.353,2.7,3.8,0.6970000000000001,6.9,0.7,0.8,2.6,1.5,2.5,11.5,-1.07,2.6,0.6,0.4,0.8,5.6,37,PHI,2015,PF
484,Darrun Hilliard,Villanova,132.0,26.8,3.7,8.5,0.436,2.1,4.2,0.507,1.6,4.3,0.3670000000000001,2.4,3.2,0.748,3.0,1.9,1.3,0.4,1.6,2.1,11.4,7.8,1.2,0.7,0.2,0.0,4.0,38,DET,2015,SG
485,Pat Connaughton,Notre Dame,139.0,32.3,3.7,8.2,0.45,1.8,3.2,0.5489999999999999,1.9,5.0,0.386,1.2,1.5,0.777,5.9,1.8,0.7,0.5,1.0,1.7,10.5,6.88,0.9,0.3,0.1,0.0,1.1,41,BRK,2015,SG
486,Andrew Harrison,Kentucky,79.0,28.6,2.8,7.6,0.3720000000000001,1.9,5.2,0.374,0.9,2.4,0.3670000000000001,3.6,4.6,0.777,2.7,3.8,0.8,0.2,2.2,2.4,10.1,9.28,1.9,2.8,0.7,0.3,5.9,44,PHO,2015,PG
487,Norman Powell,UCLA,141.0,25.2,3.6,7.7,0.461,2.8,5.2,0.5329999999999999,0.8,2.5,0.314,1.8,2.5,0.746,3.0,1.5,1.1,0.4,1.3,2.0,9.8,7.25,2.3,1.0,0.6,0.2,5.6,46,MIL,2015,SG
488,Ben Simmons,LSU,33.0,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0.0,0.1,0.333,6.0,9.0,0.67,11.8,4.8,2.0,0.8,3.4,2.8,19.2,7.0,8.1,8.2,1.7,0.9,15.8,1,PHI,2016,PG
489,Brandon Ingram,Duke,36.0,34.6,5.9,13.4,0.442,3.7,8.0,0.464,2.2,5.4,0.41,3.2,4.7,0.682,6.8,2.0,1.1,1.4,2.0,2.1,17.3,10.59,4.0,2.1,0.6,0.5,9.4,2,LAL,2016,SF
490,Jaylen Brown,California,34.0,27.6,4.8,11.1,0.431,3.9,8.1,0.482,0.9,3.0,0.294,4.2,6.4,0.654,5.4,2.0,0.8,0.6,3.1,3.2,14.6,7.87,2.8,0.8,0.4,0.2,6.6,3,BOS,2016,SF
491,Kris Dunn,Providence,95.0,31.5,4.5,9.9,0.45,3.7,7.8,0.476,0.8,2.2,0.354,3.1,4.5,0.693,5.1,5.8,2.2,0.4,3.3,2.9,12.8,8.09,2.1,2.4,1.0,0.5,3.8,5,MIN,2016,PG
492,Buddy Hield,Oklahoma,132.0,31.7,5.9,13.2,0.448,3.3,6.5,0.508,2.6,6.8,0.39,2.8,3.4,0.836,5.0,1.9,1.3,0.3,2.2,2.0,17.4,9.28,3.3,1.5,0.5,0.1,10.6,6,NOP,2016,SG
493,Jamal Murray,Kentucky,36.0,35.2,6.8,14.9,0.454,3.6,7.3,0.502,3.1,7.7,0.408,3.3,4.2,0.7829999999999999,5.2,2.2,1.0,0.3,2.3,2.1,20.0,8.84,2.6,2.1,0.6,0.3,9.9,7,DEN,2016,SG
494,Marquese Chriss,Washington,34.0,24.9,5.3,9.9,0.53,4.6,8.2,0.568,0.6,1.8,0.35,2.6,3.8,0.682,5.4,0.8,0.9,1.6,2.0,4.1,13.7,8.12,4.2,0.7,0.8,0.9,9.2,8,SAC,2016,PF
495,Jakob Poeltl,Utah,70.0,26.9,5.1,7.7,0.6579999999999999,5.1,7.7,0.659,0.0,0.0,0.0,3.1,5.2,0.605,8.0,1.3,0.5,1.7,1.8,2.4,13.3,8.1,3.1,0.2,0.3,0.4,3.1,9,TOR,2016,C
496,Domantas Sabonis,Gonzaga,74.0,26.6,5.2,8.2,0.632,5.1,8.0,0.638,0.1,0.2,0.35700000000000004,3.1,4.2,0.7290000000000001,9.4,1.3,0.5,0.6,2.0,3.0,13.5,4.67,3.6,1.0,0.5,0.4,5.9,11,ORL,2016,PF
497,Denzel Valentine,Michigan State,144.0,29.0,4.0,9.1,0.442,2.2,4.6,0.476,1.8,4.5,0.408,1.5,2.0,0.779,5.9,4.4,0.9,0.3,2.2,2.1,11.4,9.21,2.6,1.1,0.5,0.1,5.1,14,CHI,2016,SG
498,Wade Baldwin,Vanderbilt,68.0,29.6,3.4,8.0,0.431,2.2,5.1,0.436,1.2,2.9,0.422,3.5,4.4,0.8,4.1,4.8,1.3,0.2,2.3,2.5,11.6,7.45,1.4,1.8,0.5,0.2,3.2,17,MEM,2016,PG
499,Henry Ellenson,Marquette,33.0,33.5,5.9,13.2,0.446,5.0,10.0,0.495,0.9,3.2,0.28800000000000003,4.3,5.8,0.7490000000000001,9.7,1.8,0.8,1.5,2.4,2.5,17.0,5.57,2.2,0.4,0.1,0.1,3.2,18,DET,2016,PF
500,Malik Beasley,Florida State,34.0,29.8,5.4,11.6,0.471,3.8,7.4,0.518,1.6,4.2,0.387,3.1,3.8,0.813,5.3,1.5,0.9,0.2,1.7,2.2,15.6,8.16,0.8,0.5,0.3,0.0,3.8,19,DEN,2016,SG
501,Caris LeVert,Michigan,103.0,26.4,3.6,8.2,0.434,2.3,4.9,0.456,1.3,3.2,0.401,2.0,2.6,0.77,3.5,2.7,0.9,0.2,1.3,1.5,10.4,9.3,3.3,1.9,0.9,0.1,8.2,20,IND,2016,SF
502,Malachi Richardson,Syracuse,37.0,34.4,4.1,11.1,0.369,2.0,5.1,0.388,2.1,6.1,0.353,3.1,4.2,0.72,4.3,2.1,1.1,0.3,2.1,2.5,13.4,9.75,1.0,0.5,0.2,0.0,3.6,22,CHO,2016,SG
503,Pascal Siakam,New Mexico State,68.0,32.7,6.5,11.8,0.551,6.4,11.5,0.5589999999999999,0.0,0.3,0.17600000000000002,3.5,5.0,0.711,9.7,1.5,0.9,2.0,1.9,2.6,16.6,-3.6,3.4,0.3,0.5,0.8,4.2,27,TOR,2016,PF
504,Skal Labissiere,Kentucky,36.0,15.8,2.7,5.3,0.516,2.7,5.2,0.521,0.0,0.1,0.0,1.1,1.7,0.6609999999999999,3.1,0.3,0.3,1.6,0.9,3.0,6.6,8.84,4.9,0.8,0.5,0.4,8.8,28,PHO,2016,PF
505,Dejounte Murray,Washington,34.0,33.5,5.9,14.3,0.416,4.9,10.8,0.457,1.0,3.5,0.28800000000000003,3.2,4.9,0.6629999999999999,6.0,4.4,1.8,0.3,3.2,2.6,16.1,8.12,1.1,1.3,0.2,0.2,3.4,29,SAS,2016,PG
506,Tyler Ulis,Kentucky,72.0,30.1,3.6,8.4,0.4270000000000001,2.4,5.1,0.462,1.2,3.3,0.371,2.9,3.4,0.846,2.4,5.3,1.2,0.1,1.5,1.7,11.3,8.76,1.6,3.7,0.8,0.1,7.3,34,PHO,2016,PG
507,Malcolm Brogdon,Virginia,136.0,30.6,4.4,10.3,0.43,3.1,6.6,0.466,1.4,3.7,0.365,3.1,3.5,0.8759999999999999,4.1,2.5,0.9,0.2,1.5,1.8,13.3,7.76,2.8,4.2,1.1,0.2,10.2,36,MIL,2016,SG
508,Patrick McCaw,UNLV,65.0,31.7,4.2,9.6,0.439,2.3,4.3,0.527,1.9,5.2,0.3670000000000001,1.9,2.5,0.753,4.2,3.3,2.0,0.4,1.9,1.9,12.2,3.28,1.4,1.1,0.5,0.2,4.0,38,MIL,2016,SG
509,Isaiah Whitehead,Seton Hall,56.0,30.5,5.1,13.6,0.375,3.0,7.8,0.387,2.1,5.8,0.359,3.5,4.6,0.757,3.7,4.5,1.3,1.1,3.4,2.3,15.8,7.92,2.5,2.6,0.6,0.5,7.4,42,UTA,2016,PG
510,Demetrius Jackson,Pacific,57.0,29.1,4.2,10.4,0.402,2.5,5.6,0.447,1.7,4.8,0.348,3.3,4.0,0.8370000000000001,2.8,3.3,1.1,0.1,3.4,2.6,13.4,-1.12,0.8,0.6,0.0,0.0,2.0,45,BOS,2016,PG
511,Jake Layman,Maryland,141.0,27.9,3.4,7.7,0.445,2.0,3.8,0.53,1.4,3.9,0.362,1.9,2.6,0.759,4.8,1.1,0.9,0.8,1.4,1.9,10.2,7.17,0.7,0.3,0.3,0.1,2.2,47,ORL,2016,SF
512,Georges Niang,Iowa State,138.0,29.8,6.2,12.3,0.5,4.8,8.7,0.5529999999999999,1.4,3.6,0.375,2.5,3.2,0.763,5.2,3.1,0.7,0.5,2.3,3.1,16.1,8.83,0.7,0.2,0.1,0.0,0.9,50,IND,2016,PF
513,Joel Bolomboy,Weber State,130.0,28.8,3.8,7.2,0.528,3.5,6.4,0.547,0.3,0.7,0.371,3.6,5.0,0.713,10.1,0.7,0.6,1.4,2.0,2.3,11.4,-4.62,1.4,0.2,0.1,0.2,1.8,52,UTA,2016,PF
514,Marcus Paige,UNC,141.0,32.4,4.3,10.5,0.407,2.1,4.8,0.446,2.1,5.7,0.374,2.5,3.0,0.848,2.8,4.3,1.4,0.2,1.9,1.7,13.3,9.72,0.8,0.6,0.0,0.0,2.4,55,BRK,2016,PG
515,Daniel Hamilton,UConn,71.0,31.6,4.2,10.9,0.384,2.9,7.1,0.409,1.3,3.9,0.337,2.0,2.6,0.772,8.3,4.2,1.0,0.4,2.3,2.1,11.7,5.25,0.8,1.3,0.2,0.0,2.0,56,DEN,2016,SG
516,Tyrone Wallace,California,129.0,31.6,4.6,11.0,0.415,3.6,7.9,0.464,0.9,3.1,0.292,2.6,4.2,0.613,5.2,3.4,1.1,0.4,2.2,2.5,12.6,7.3,3.5,2.4,0.9,0.4,9.7,60,UTA,2016,PG
517,Markelle Fultz,Washington,25.0,35.7,8.4,17.6,0.476,6.3,12.5,0.502,2.1,5.0,0.413,4.4,6.7,0.649,5.7,5.9,1.6,1.2,3.2,2.5,23.2,6.82,3.1,3.8,0.9,0.3,7.1,1,PHI,2017,SG
518,Lonzo Ball,UCLA,36.0,35.1,5.3,9.5,0.551,3.0,4.1,0.732,2.2,5.4,0.412,1.8,2.7,0.6729999999999999,6.0,7.6,1.8,0.8,2.5,1.8,14.6,6.39,6.9,7.2,1.7,0.8,10.2,2,LAL,2017,PG
519,Jayson Tatum,Duke,29.0,33.3,5.7,12.6,0.452,4.3,8.6,0.504,1.4,4.0,0.342,4.1,4.8,0.8490000000000001,7.3,2.1,1.3,1.1,2.6,3.0,16.8,10.91,5.0,1.6,1.0,0.7,13.9,3,BOS,2017,SF
520,Jonathan Isaac,Florida State,32.0,26.2,4.1,8.0,0.508,3.1,5.2,0.593,1.0,2.8,0.348,2.9,3.7,0.78,7.8,1.2,1.2,1.5,1.5,2.2,12.0,8.87,3.7,0.7,1.2,1.1,5.4,6,ORL,2017,PF
521,Lauri Markkanen,Arizona,37.0,30.8,5.0,10.2,0.4920000000000001,3.1,5.8,0.545,1.9,4.4,0.423,3.7,4.4,0.835,7.2,0.9,0.4,0.5,1.1,2.0,15.6,7.63,7.5,1.2,0.6,0.6,15.2,7,MIN,2017,PF
522,Zach Collins,Gonzaga,39.0,17.3,3.5,5.3,0.652,3.2,4.8,0.672,0.3,0.5,0.476,2.8,3.8,0.743,5.9,0.4,0.5,1.8,1.5,2.7,10.0,4.13,3.3,0.8,0.3,0.5,4.4,10,SAC,2017,C
523,Malik Monk,Kentucky,38.0,32.1,6.6,14.7,0.45,3.9,7.8,0.4970000000000001,2.7,6.9,0.397,3.9,4.7,0.8220000000000001,2.5,2.3,0.9,0.5,2.0,1.9,19.8,10.49,1.0,1.4,0.3,0.1,6.7,11,CHO,2017,SG
524,Luke Kennard,Duke,73.0,31.2,5.2,11.2,0.461,3.2,6.1,0.526,2.0,5.1,0.383,3.4,3.9,0.867,4.3,2.0,0.9,0.3,1.2,2.1,15.7,10.75,2.4,1.7,0.6,0.2,7.6,12,DET,2017,SG
525,Donovan Mitchell,Louisville,65.0,26.0,4.1,9.8,0.418,2.6,5.2,0.4970000000000001,1.5,4.6,0.329,2.0,2.5,0.7879999999999999,4.1,2.2,1.5,0.3,1.3,2.6,11.7,9.44,3.7,3.7,1.5,0.3,20.5,13,DEN,2017,SG
