,Name,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Pk,Tm,Year,Pos
375,Marquis Teague,Kentucky,40.0,32.6,3.6,8.8,0.412,3.0,6.8,0.438,0.7,2.0,0.325,2.1,3.0,0.7140000000000001,2.5,4.8,0.9,0.3,2.7,2.3,10.0,7.93,0.9,1.3,0.2,0.1,2.1,29,CHI,2012,PG
376,Jae Crowder,Marquette,72.0,30.2,5.2,10.6,0.4920000000000001,3.8,6.5,0.581,1.4,4.1,0.35,2.7,4.0,0.6829999999999999,7.6,1.8,1.9,0.9,1.0,2.5,14.6,8.0,2.4,1.2,0.8,0.2,5.0,34,CLE,2012,SF
377,Draymond Green,Michigan State,145.0,25.0,3.7,8.0,0.467,3.1,6.3,0.496,0.6,1.7,0.361,2.3,3.4,0.687,7.6,2.9,1.2,0.8,1.9,2.7,10.5,9.75,3.3,0.7,0.5,0.3,2.9,35,GSW,2012,SF
378,Quincy Acy,Baylor,139.0,25.1,3.6,6.0,0.602,3.6,6.0,0.604,0.0,0.1,0.429,2.5,3.6,0.708,6.0,0.6,0.7,1.3,1.5,2.6,9.8,7.2,2.7,0.4,0.4,0.5,4.0,37,TOR,2012,PF
379,Quincy Miller,Baylor,37.0,24.4,3.7,8.4,0.447,3.1,6.5,0.475,0.6,1.9,0.348,2.5,3.1,0.816,4.9,1.4,0.7,0.6,1.8,1.9,10.6,8.03,0.3,0.4,0.1,0.0,1.3,38,DEN,2012,PF
380,Khris Middleton,Texas A&M,87.0,26.0,3.9,9.1,0.431,2.9,5.8,0.494,1.1,3.3,0.321,2.4,3.1,0.768,4.6,2.0,1.0,0.2,2.0,2.1,11.3,7.42,1.9,1.0,0.6,0.1,6.1,39,DET,2012,SG
381,Will Barton,Memphis,70.0,32.9,5.7,12.0,0.471,4.6,8.4,0.546,1.1,3.6,0.299,2.7,3.7,0.733,6.5,2.9,1.5,0.6,2.3,2.2,15.2,4.2,2.0,0.8,0.5,0.1,4.0,40,POR,2012,SG
382,Tyshawn Taylor,Kansas,146.0,27.7,3.8,7.9,0.477,3.0,5.7,0.518,0.8,2.2,0.37,2.5,3.5,0.708,2.2,3.9,1.2,0.2,2.6,2.1,10.8,8.42,0.5,0.6,0.3,0.0,2.2,41,POR,2012,PG
383,Doron Lamb,Kentucky,78.0,29.8,4.3,8.9,0.485,2.5,5.0,0.4920000000000001,1.8,3.9,0.475,2.6,3.2,0.8109999999999999,2.3,1.6,0.5,0.1,1.2,2.0,13.1,8.42,1.0,0.7,0.3,0.0,3.3,42,MIL,2012,SG
384,Mike Scott,Eastern Kentucky,55.0,22.9,1.9,5.0,0.389,1.5,3.6,0.429,0.4,1.4,0.28600000000000003,1.9,2.8,0.677,3.5,2.0,1.3,0.1,1.6,2.9,6.2,-5.05,2.8,0.3,0.1,0.1,4.6,43,ATL,2012,PF
385,Kim English,Missouri,141.0,24.2,3.7,8.7,0.42,2.0,4.4,0.444,1.7,4.3,0.394,2.1,2.9,0.727,3.0,1.4,1.1,0.2,1.7,1.8,11.1,6.32,0.9,0.6,0.4,0.1,2.9,44,DET,2012,SG
386,Justin Hamilton,Florida,113.0,31.2,2.6,5.4,0.489,2.0,3.3,0.589,0.7,2.1,0.331,0.9,1.2,0.7390000000000001,2.6,2.7,1.5,0.3,1.5,1.4,6.9,8.03,0.9,0.0,0.6,0.0,3.3,45,PHI,2012,C
