,Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value,Pos,Glitch
34,Mfiondu Kabengele,2.58,0.61,0.37,0.44,4.48,10.92,PF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg31.jpg?v=1560838179606
35,Miye Oni,1.69,0.92,0.33,0.24,4.0,9.1,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg32.jpg?v=1560838179839
36,Nassir Little,2.2,0.57,0.39,0.15,4.44,9.57,SF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg33.jpg?v=1560838180250
37,Nickeil Alexander-Walker,1.86,1.31,0.66,0.15,6.45,13.09,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg35.jpg?v=1560838179995
38,Nicolas Claxton,2.11,0.56,0.37,0.6,3.68,9.97,PF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg36.jpg?v=1560838179446
39,PJ Washington,3.94,0.91,0.45,0.4,10.14,18.77,PF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg37.jpg?v=1560838179489
40,Quinndary Weatherspoon,1.85,0.9,0.7,0.15,4.27,10.36,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg57.jpg?v=1561584355602
41,RJ Barrett,4.87,3.66,0.66,0.29,14.72,28.92,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg38.jpg?v=1560838180076
42,Romeo Langford,1.99,0.89,0.42,0.32,5.88,11.84,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg39.jpg?v=1560838179638
43,Rui Hachimura,4.27,0.87,0.51,0.29,10.04,18.86,SF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg40.jpg?v=1560838180372
44,Talen Horton-Tucker,1.69,0.94,0.42,0.18,3.8,9.03,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg58.jpg?v=1561584358105
45,Terance Mann,2.49,0.9,0.42,0.16,3.95,10.04,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg43.gif?v=1560838179799
46,Tremont Waters,1.25,1.96,0.67,0.09,4.21,10.91,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg59.gif?v=1561584360785
47,Ty Jerome,1.39,2.39,0.47,0.09,4.55,11.47,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg44.jpg?v=1560838179904
48,Tyler Herro,2.08,1.68,0.48,0.16,6.64,13.58,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg46.jpg?v=1560838179338
49,Zion Williamson,7.1,1.88,1.15,0.78,14.14,31.28,PF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg47.jpg?v=1560838179778
