,Real,pred1,hue1,chip1,pred2,hue2,chip2,pred3,hue3,chip3,pred4,hue4,chip4,pred5,hue5,chip5,pred6,hue6,chip6,pred7,hue7,chip7,level_0,Name
16,6.6,7.58,"rgb(87, 110, 167)",-0.98,8.51,"rgb(113, 162, 104)",-1.91,10.9,"rgb(193, 127, 83)",-4.3,6.679999828338623,"rgb(87, 110, 167)",-0.08,7.320000171661377,"rgb(87, 110, 167)",-0.72,5.679999828338623,"rgb(87, 110, 167)",0.92,11.15,"rgb(193, 127, 83)",-4.55,16,Jaylen Brown
17,2.0,3.47,"rgb(193, 127, 83)",-1.47,4.02,"rgb(171, 79, 82)",-2.02,3.6,"rgb(193, 127, 83)",-1.6,3.809999942779541,"rgb(193, 127, 83)",-1.81,3.3399999141693115,"rgb(193, 127, 83)",-1.34,3.9700000286102295,"rgb(193, 127, 83)",-1.97,4.04,"rgb(171, 79, 82)",-2.04,17,Demetrius Jackson
18,3.8,10.05,"rgb(171, 79, 82)",-6.25,9.95,"rgb(171, 79, 82)",-6.15,9.95,"rgb(171, 79, 82)",-6.15,8.84000015258789,"rgb(171, 79, 82)",-5.04,10.739999771118164,"rgb(171, 79, 82)",-6.94,10.920000076293945,"rgb(171, 79, 82)",-7.12,10.11,"rgb(171, 79, 82)",-6.31,18,Kris Dunn
19,10.6,9.4,"rgb(87, 110, 167)",1.2,9.97,"rgb(87, 110, 167)",0.63,12.38,"rgb(87, 110, 167)",-1.78,8.40999984741211,"rgb(113, 162, 104)",2.19,9.819999694824219,"rgb(87, 110, 167)",0.78,9.729999542236328,"rgb(87, 110, 167)",0.87,11.85,"rgb(87, 110, 167)",-1.25,19,Buddy Hield
20,9.9,8.78,"rgb(87, 110, 167)",1.12,9.4,"rgb(87, 110, 167)",0.5,12.33,"rgb(113, 162, 104)",-2.43,8.050000190734863,"rgb(113, 162, 104)",1.85,8.9399995803833,"rgb(87, 110, 167)",0.96,13.600000381469727,"rgb(113, 162, 104)",-3.7,10.91,"rgb(87, 110, 167)",-1.01,20,Jamal Murray
21,3.8,7.36,"rgb(193, 127, 83)",-3.56,5.92,"rgb(193, 127, 83)",-2.12,5.64,"rgb(113, 162, 104)",-1.84,6.989999771118164,"rgb(193, 127, 83)",-3.19,7.260000228881836,"rgb(193, 127, 83)",-3.46,4.380000114440918,"rgb(87, 110, 167)",-0.58,5.69,"rgb(113, 162, 104)",-1.89,21,Malik Beasley
22,2.0,3.66,"rgb(193, 127, 83)",-1.66,3.96,"rgb(193, 127, 83)",-1.96,3.62,"rgb(193, 127, 83)",-1.62,3.299999952316284,"rgb(193, 127, 83)",-1.3,3.1700000762939453,"rgb(193, 127, 83)",-1.17,3.319999933242798,"rgb(193, 127, 83)",-1.32,4.43,"rgb(171, 79, 82)",-2.43,22,Daniel Hamilton
23,9.2,7.96,"rgb(87, 110, 167)",1.24,7.76,"rgb(87, 110, 167)",1.44,7.43,"rgb(113, 162, 104)",1.77,7.730000019073486,"rgb(87, 110, 167)",1.47,8.0,"rgb(87, 110, 167)",1.2,5.190000057220459,"rgb(193, 127, 83)",4.01,7.52,"rgb(113, 162, 104)",1.68,23,Marquese Chriss
24,3.1,8.13,"rgb(171, 79, 82)",-5.03,6.43,"rgb(171, 79, 82)",-3.33,7.1,"rgb(171, 79, 82)",-4.0,7.519999980926514,"rgb(171, 79, 82)",-4.42,8.069999694824219,"rgb(171, 79, 82)",-4.97,9.699999809265137,"rgb(171, 79, 82)",-6.6,6.87,"rgb(171, 79, 82)",-3.77,24,Jakob Poeltl
25,4.2,4.91,"rgb(87, 110, 167)",-0.71,4.91,"rgb(87, 110, 167)",-0.71,4.77,"rgb(87, 110, 167)",-0.57,5.559999942779541,"rgb(113, 162, 104)",-1.36,4.650000095367432,"rgb(87, 110, 167)",-0.45,4.260000228881836,"rgb(87, 110, 167)",-0.06,5.41,"rgb(113, 162, 104)",-1.21,25,Pascal Siakam
26,5.9,9.16,"rgb(193, 127, 83)",-3.26,7.16,"rgb(113, 162, 104)",-1.26,7.32,"rgb(113, 162, 104)",-1.42,8.140000343322754,"rgb(113, 162, 104)",-2.24,8.539999961853027,"rgb(113, 162, 104)",-2.64,8.09000015258789,"rgb(113, 162, 104)",-2.19,7.13,"rgb(113, 162, 104)",-1.23,26,Domantas Sabonis
27,2.2,3.38,"rgb(193, 127, 83)",-1.18,3.97,"rgb(193, 127, 83)",-1.77,3.68,"rgb(193, 127, 83)",-1.48,3.9600000381469727,"rgb(193, 127, 83)",-1.76,3.319999933242798,"rgb(193, 127, 83)",-1.12,2.359999895095825,"rgb(87, 110, 167)",-0.16,4.8,"rgb(171, 79, 82)",-2.6,27,Jake Layman
28,5.1,7.52,"rgb(113, 162, 104)",-2.42,5.71,"rgb(87, 110, 167)",-0.61,5.34,"rgb(87, 110, 167)",-0.24,5.989999771118164,"rgb(87, 110, 167)",-0.89,6.619999885559082,"rgb(113, 162, 104)",-1.52,6.820000171661377,"rgb(113, 162, 104)",-1.72,5.58,"rgb(87, 110, 167)",-0.48,28,Denzel Valentine
29,3.2,7.0,"rgb(171, 79, 82)",-3.8,5.9,"rgb(193, 127, 83)",-2.7,5.34,"rgb(193, 127, 83)",-2.14,6.590000152587891,"rgb(171, 79, 82)",-3.39,6.769999980926514,"rgb(171, 79, 82)",-3.57,6.659999847412109,"rgb(171, 79, 82)",-3.46,5.21,"rgb(193, 127, 83)",-2.01,29,Wade Baldwin
30,3.2,6.23,"rgb(193, 127, 83)",-3.03,5.25,"rgb(193, 127, 83)",-2.05,5.03,"rgb(193, 127, 83)",-1.83,5.829999923706055,"rgb(193, 127, 83)",-2.63,4.960000038146973,"rgb(193, 127, 83)",-1.76,4.78000020980835,"rgb(113, 162, 104)",-1.58,5.11,"rgb(193, 127, 83)",-1.91,30,Henry Ellenson
