Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,Year,Pos,Age,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
Britton Johnsen,Utah,109.0,82.0,26.2,3.5,7.3,0.476,2.8,5.4,0.526,0.7,2.0,0.338,2.0,3.4,0.589,1.9,4.2,5.2,1.1,0.8,0.4,2.3,2.2,9.6,5.36,2004,C,24,2.3,0.6,0.4,0.1,2.1
Linton Johnson,Tulane,107.0,31.0,19.4,2.6,5.5,0.47,2.2,4.1,0.523,0.4,1.4,0.315,1.0,1.5,0.6559999999999999,2.8,4.6,4.9,1.1,0.7,0.9,2.2,1.4,6.7,4.48,2004,SF,23,4.5,0.7,0.9,0.8,4.2
James Jones,Miami (FL),122.0,88.0,27.5,3.8,8.9,0.426,2.8,6.3,0.444,1.0,2.7,0.383,2.5,3.0,0.831,2.0,4.0,5.0,1.2,1.1,1.6,1.5,2.1,11.1,5.18,2004,SF,23,0.3,0.0,0.2,0.0,1.2
Jason Kapono,UCLA,127.0,93.0,34.0,5.5,11.7,0.469,3.0,6.1,0.489,2.5,5.6,0.446,3.0,3.6,0.83,1.6,3.7,5.1,2.1,0.9,0.1,2.3,2.3,16.5,10.67,2004,SF,22,1.3,0.3,0.3,0.0,3.5
Kyle Korver,Creighton,128.0,94.0,27.7,4.4,9.3,0.472,1.5,2.9,0.515,2.9,6.4,0.453,2.4,2.7,0.8909999999999999,1.5,4.4,5.2,2.3,1.3,0.5,1.8,2.3,14.1,1.76,2004,SF,22,1.5,0.5,0.3,0.1,4.5
Keith McLeod,Bowling Green State,111.0,58.0,32.1,5.2,12.1,0.426,3.4,7.6,0.442,1.8,4.5,0.399,5.0,6.3,0.7909999999999999,0.8,3.0,3.2,2.8,1.6,0.1,2.8,2.3,17.1,1.52,2004,PG,24,1.0,1.8,0.5,0.0,2.7
Desmond Penigar,Utah State,64.0,60.0,27.9,6.2,12.9,0.478,5.3,10.5,0.511,0.8,2.5,0.335,3.3,4.6,0.7070000000000001,2.0,4.8,6.8,0.5,0.6,0.5,1.8,2.1,16.4,-1.56,2004,PF,22,2.4,0.3,0.2,0.2,3.2
Kirk Penney,Wisconsin,127.0,86.0,26.9,4.0,9.1,0.434,2.3,4.7,0.479,1.7,4.4,0.387,1.8,2.4,0.75,0.7,4.0,3.8,1.7,0.6,0.1,2.2,1.3,11.4,10.07,2004,SG,23,0.5,0.5,0.5,0.0,1.5
Luke Ridnour,Oregon,96.0,96.0,33.6,4.5,10.5,0.429,2.4,5.0,0.472,2.1,5.4,0.389,3.5,4.1,0.8590000000000001,0.4,2.5,3.0,5.2,1.6,0.1,3.2,2.1,14.6,6.98,2004,PG,22,1.6,2.4,0.8,0.1,5.5
Theron Smith,Ball State,99.0,68.0,32.9,5.6,11.7,0.479,4.4,8.5,0.521,1.2,3.2,0.37,3.7,5.1,0.725,3.1,6.4,8.9,1.5,0.9,0.4,2.4,1.9,16.2,2.23,2004,SF,23,2.1,0.4,0.3,0.3,2.2
Darius Songaila,Wake Forest,130.0,63.0,26.2,4.9,9.6,0.511,4.8,9.3,0.516,0.1,0.3,0.343,4.4,5.3,0.831,2.1,5.1,6.3,1.8,1.1,0.7,2.8,3.3,14.3,9.46,2004,PF,25,3.1,0.7,0.6,0.2,4.6
Mike Sweetney,Georgetown,96.0,95.0,29.0,6.3,11.6,0.544,6.3,11.6,0.546,0.0,0.0,0.0,5.6,7.7,0.727,3.6,5.6,9.2,1.8,1.1,1.9,2.5,2.3,18.2,4.02,2004,PF,21,3.7,0.3,0.4,0.3,4.3
Dwyane Wade,Marquette,65.0,65.0,30.7,7.3,14.8,0.494,6.8,13.3,0.512,0.5,1.5,0.333,4.6,6.2,0.745,2.2,4.3,6.5,3.9,2.3,1.2,3.1,2.4,19.7,6.03,2004,PG,22,4.0,4.5,1.4,0.6,16.2
Luke Walton,Arizona,129.0,65.0,27.2,3.3,7.6,0.426,2.8,5.9,0.47,0.5,1.8,0.284,2.1,3.1,0.685,1.6,3.9,5.1,4.5,1.2,0.4,2.6,1.8,9.1,10.92,2004,PF,23,1.8,1.6,0.4,0.1,2.4
David West,Xavier,126.0,93.0,33.4,5.8,10.8,0.531,5.6,10.4,0.54,0.1,0.4,0.327,5.3,6.9,0.757,3.2,7.6,10.4,2.1,1.4,1.8,2.5,2.8,16.9,4.18,2004,PF,23,4.2,0.8,0.4,0.4,3.8
Mo Williams,Alabama,64.0,64.0,33.7,4.4,10.9,0.405,3.0,6.1,0.4920000000000001,1.4,4.8,0.294,2.8,3.4,0.847,1.0,2.9,3.9,4.2,1.5,0.1,3.0,2.4,13.1,8.53,2004,SG,21,1.3,1.3,0.5,0.0,5.0
Tony Allen,Oklahoma State,67.0,62.0,31.4,5.5,11.5,0.477,4.7,9.3,0.508,0.8,2.2,0.34700000000000003,3.5,5.2,0.682,1.7,3.7,5.5,2.9,2.0,0.8,2.8,2.9,15.3,7.84,2005,SG,23,2.9,0.8,1.0,0.3,6.4
Rafael Araujo,BYU,62.0,62.0,27.4,5.9,10.4,0.5670000000000001,5.7,9.8,0.5870000000000001,0.2,0.7,0.268,3.1,4.5,0.691,2.9,6.6,9.5,1.2,1.4,0.6,2.9,3.4,15.1,5.79,2005,C,24,3.1,0.3,0.4,0.1,3.3
Trevor Ariza,UCLA,25.0,23.0,31.6,4.3,10.0,0.426,3.6,7.0,0.509,0.7,3.0,0.237,2.3,4.5,0.504,2.4,4.0,6.5,2.1,1.7,0.4,3.2,2.8,11.6,6.82,2005,SF,19,3.0,1.1,0.9,0.2,5.9
Maurice Baker,Oklahoma State,59.0,53.0,33.7,5.6,11.7,0.481,3.8,7.1,0.539,1.8,4.6,0.391,3.3,4.0,0.8190000000000001,2.4,3.7,6.1,3.8,1.7,0.2,3.5,2.2,16.4,5.75,2005,PG,25,0.4,0.2,0.2,0.0,0.0
Andre Barrett,Seton Hall,122.0,122.0,35.2,5.1,12.4,0.415,3.1,6.7,0.469,2.0,5.7,0.35100000000000003,3.0,3.9,0.773,0.9,2.8,3.7,5.4,1.4,0.1,2.9,1.9,15.3,7.16,2005,PG,22,1.1,1.8,0.5,0.0,3.1
Tony Bobbitt,Cincinnati,59.0,1.0,18.4,3.7,8.8,0.423,1.6,3.0,0.514,2.2,5.7,0.375,1.3,1.6,0.8390000000000001,0.4,2.3,2.6,1.3,1.1,0.1,0.9,2.4,10.9,6.87,2005,SG,25,1.5,0.0,0.0,0.0,2.5
Matt Bonner,Florida,131.0,81.0,25.0,4.4,8.8,0.503,3.2,5.6,0.564,1.3,3.2,0.395,1.9,2.5,0.74,2.3,4.7,5.9,1.2,0.7,0.5,1.6,1.5,12.0,8.03,2005,C,24,3.5,0.6,0.5,0.2,7.2
Antonio Burks,Memphis,91.0,80.0,30.6,4.3,9.2,0.469,3.6,7.4,0.484,0.7,1.7,0.401,2.0,3.0,0.6729999999999999,0.5,2.1,2.6,5.4,1.9,0.2,2.3,2.3,11.3,5.31,2005,PG,24,0.5,1.2,0.5,0.0,3.0
Lionel Chalmers,Xavier,123.0,99.0,31.7,4.2,9.8,0.425,2.3,4.7,0.483,1.9,5.1,0.3720000000000001,2.4,3.4,0.716,0.5,2.4,2.9,3.3,1.3,0.1,2.7,2.2,12.7,4.78,2005,PG,24,0.9,1.4,0.4,0.0,3.1
Josh Childress,Stanford,86.0,57.0,28.6,4.5,10.2,0.438,3.3,6.6,0.494,1.2,3.6,0.335,2.2,2.8,0.755,1.9,4.9,6.8,1.8,0.9,1.1,1.7,2.1,12.3,7.25,2005,SG,21,6.0,1.9,0.9,0.4,10.1
Nick Collison,Kansas,142.0,130.0,27.4,6.0,10.7,0.562,5.9,10.3,0.5710000000000001,0.2,0.5,0.359,2.5,4.0,0.624,3.0,5.4,8.0,1.8,1.1,1.7,2.4,2.9,14.8,9.68,2005,C,24,4.6,0.4,0.4,0.6,5.6
Erik Daniels,Kentucky,127.0,61.0,20.5,3.5,6.3,0.5589999999999999,3.4,5.7,0.59,0.1,0.6,0.26,1.1,1.8,0.611,1.6,2.5,4.1,1.8,0.7,0.3,1.3,1.9,8.3,10.23,2005,SF,22,0.9,0.2,0.1,0.0,0.6
Luol Deng,Duke,37.0,32.0,31.1,5.7,11.9,0.476,4.6,8.9,0.515,1.1,3.0,0.36,2.6,3.7,0.71,2.2,4.7,6.9,1.8,1.3,1.1,2.2,2.2,15.1,10.86,2005,SF,19,5.3,2.2,0.8,0.4,11.7
Chris Duhon,Duke,144.0,113.0,33.4,3.0,7.2,0.418,1.9,3.7,0.511,1.1,3.5,0.321,1.7,2.4,0.693,0.8,2.6,3.4,5.7,2.1,0.1,2.5,1.9,8.8,10.09,2005,PG,22,2.6,4.9,1.0,0.0,5.9
Corsley Edwards,Central Connecticut,123.0,55.0,27.6,5.3,10.4,0.509,5.3,10.4,0.51,0.0,0.0,0.0,3.5,5.0,0.688,3.8,4.5,7.9,0.8,0.9,1.6,2.0,1.6,14.1,-9.85,2005,C,25,2.5,0.3,0.3,0.4,2.7
Andre Emmett,Texas Tech,128.0,97.0,32.3,6.9,13.8,0.5,6.5,12.4,0.52,0.4,1.4,0.312,3.4,4.9,0.703,2.1,3.9,6.0,1.6,1.3,0.3,1.9,1.3,17.6,7.3,2005,SG,22,0.3,0.0,0.0,0.0,0.9
Matt Freije,Vanderbilt,121.0,111.0,28.7,5.2,11.7,0.448,3.7,7.4,0.501,1.5,4.3,0.355,3.7,4.7,0.7859999999999999,1.6,3.3,4.9,0.9,0.7,0.6,1.4,2.2,15.6,8.36,2005,PF,23,2.7,0.9,0.6,0.1,4.0
Ben Gordon,UConn,106.0,74.0,31.0,5.6,12.7,0.44,3.2,7.2,0.452,2.3,5.5,0.423,3.5,4.4,0.795,0.8,3.1,3.9,4.1,1.2,0.2,2.8,2.3,16.9,7.61,2005,SG,21,2.6,2.0,0.6,0.1,15.1
Devin Harris,Wisconsin,96.0,96.0,35.0,4.6,10.2,0.447,2.6,5.0,0.522,1.9,5.2,0.375,3.8,4.8,0.778,0.7,3.4,4.1,3.1,1.7,0.4,1.8,2.1,14.8,7.74,2005,PG,21,1.3,2.2,1.0,0.3,5.7
David Harrison,Colorado,88.0,82.0,28.2,5.6,9.2,0.601,5.6,9.2,0.602,0.0,0.0,0.0,3.9,7.0,0.5529999999999999,3.4,4.6,8.0,0.6,0.6,2.6,2.4,3.4,15.0,6.73,2005,C,22,3.1,0.3,0.4,1.3,6.1
Kris Humphries,Minnesota,29.0,28.0,34.1,7.6,17.2,0.444,7.0,15.4,0.455,0.6,1.7,0.34,5.9,7.9,0.742,3.1,7.0,10.1,0.7,0.9,1.1,2.8,2.2,21.7,5.36,2005,PF,19,2.9,0.6,0.4,0.3,4.1
Andre Iguodala,Arizona,62.0,34.0,25.4,3.3,7.8,0.424,2.8,5.9,0.473,0.5,1.9,0.274,2.5,3.3,0.738,2.2,4.4,6.6,3.4,1.5,0.5,2.1,2.2,9.6,7.79,2005,SG,21,5.7,3.0,1.7,0.6,9.0
Royal Ivey,Texas,133.0,126.0,24.7,2.8,6.1,0.455,2.4,4.9,0.483,0.4,1.2,0.338,1.9,2.6,0.7090000000000001,1.1,1.9,3.1,2.3,0.9,0.2,1.5,2.7,7.8,9.13,2005,PG,23,1.4,1.7,0.6,0.1,3.5
Luke Jackson,Oregon,126.0,102.0,29.1,5.1,11.1,0.461,3.7,7.7,0.488,1.4,3.4,0.402,4.0,4.7,0.8490000000000001,1.7,4.2,5.9,3.4,1.3,0.3,2.3,1.8,15.6,6.96,2005,SF,23,0.6,0.3,0.0,0.0,2.9
Brandin Knight,Pitt,127.0,94.0,33.9,3.9,9.7,0.399,2.2,4.6,0.489,1.6,5.1,0.32,1.9,3.6,0.537,0.7,3.2,3.9,6.2,2.3,0.4,3.1,1.9,11.3,4.98,2005,PG,23,0.0,1.0,0.0,0.0,0.0
Kevin Martin,Western Carolina,79.0,77.0,31.8,7.2,15.5,0.462,4.9,9.1,0.542,2.2,6.4,0.34600000000000003,6.8,8.0,0.841,0.9,3.5,4.5,1.7,1.7,0.4,2.9,2.1,23.3,-3.74,2005,PG,21,1.3,0.5,0.4,0.1,2.9
Jameer Nelson,St. Joseph's,125.0,125.0,34.5,5.6,12.4,0.454,3.8,7.4,0.514,1.8,5.0,0.365,3.7,4.7,0.7859999999999999,1.0,3.6,4.6,5.7,2.0,0.1,3.0,2.2,16.8,4.12,2005,PG,22,2.4,3.0,1.0,0.0,8.7
Justin Reed,Ole Miss,122.0,114.0,28.7,5.6,11.7,0.476,5.2,10.4,0.5,0.4,1.3,0.285,3.1,4.4,0.7070000000000001,2.4,3.9,6.3,1.1,1.0,0.7,2.4,3.2,14.6,7.16,2005,SF,23,0.7,0.4,0.1,0.0,1.8
Bernard Robinson,Michigan,120.0,104.0,30.6,4.6,10.4,0.44,4.0,8.5,0.472,0.6,1.9,0.297,2.8,3.4,0.8140000000000001,1.3,4.0,5.3,3.0,1.4,0.4,2.9,2.5,12.5,8.4,2005,SG,24,1.5,1.0,0.4,0.1,3.0
Quinton Ross,SMU,119.0,89.0,30.4,4.8,10.8,0.446,3.4,6.5,0.521,1.4,4.3,0.331,3.7,4.9,0.7559999999999999,2.3,3.7,5.5,1.9,1.3,0.7,2.1,1.6,14.8,2.67,2005,SG,23,2.7,1.4,0.7,0.3,5.1
Kirk Snyder,Nevada,84.0,74.0,30.8,5.7,13.3,0.426,4.4,9.3,0.477,1.3,4.1,0.31,4.1,6.0,0.677,2.3,4.1,6.4,2.7,0.9,0.8,3.1,2.4,16.7,3.25,2005,SG,21,1.8,0.5,0.4,0.3,5.0
Pape Sow,Cal State Fullerton,72.0,70.0,32.4,5.3,11.3,0.468,5.0,10.4,0.484,0.3,0.9,0.294,4.9,7.3,0.667,2.8,6.2,9.1,0.8,1.4,0.8,2.6,3.6,15.8,-1.62,2005,C,23,2.1,0.1,0.4,0.1,2.3
Jackson Vroman,Iowa State,63.0,62.0,30.6,5.4,9.7,0.5579999999999999,5.4,9.5,0.569,0.0,0.2,0.077,2.4,4.7,0.512,3.1,6.3,9.5,2.1,1.2,1.1,2.8,3.6,13.2,7.06,2005,C-PF,23,3.8,0.9,0.5,0.4,4.6
Delonte West,St. Joseph's,89.0,56.0,26.8,5.1,10.3,0.489,3.8,7.0,0.544,1.3,3.4,0.377,2.5,3.0,0.831,1.0,3.2,4.2,3.0,1.4,0.2,2.0,1.9,13.9,4.0,2005,SG,21,1.7,1.4,0.5,0.2,4.5
Alex Acker,Pepperdine,88.0,80.0,34.4,5.1,11.2,0.457,3.7,7.9,0.476,1.4,3.3,0.411,2.9,3.5,0.823,1.5,4.1,5.6,2.8,1.5,0.4,2.6,1.9,14.5,1.8,2006,SG,23,1.0,0.8,0.2,0.0,1.8
Alan Anderson,Michigan State,126.0,110.0,26.8,3.0,6.1,0.503,2.7,5.0,0.532,0.4,1.0,0.366,3.0,3.6,0.831,1.2,2.9,4.2,2.4,0.8,0.2,2.3,2.6,9.5,8.78,2006,SF,23,1.9,0.9,0.3,0.1,5.8
Earl Barron,Memphis,128.0,46.0,19.8,2.8,5.9,0.479,2.8,5.7,0.489,0.0,0.2,0.174,2.2,3.2,0.685,2.3,2.8,4.9,0.7,0.4,1.0,1.4,2.5,7.8,5.68,2006,C,24,1.3,0.0,0.0,0.0,1.6
Eddie Basden,Charlotte,118.0,79.0,27.2,3.1,6.3,0.491,2.7,5.3,0.518,0.4,1.0,0.353,2.5,3.6,0.687,2.4,4.1,6.5,2.7,2.2,0.2,2.1,2.1,9.0,6.08,2006,SF,22,1.5,0.4,0.5,0.1,2.1
Brandon Bass,LSU,59.0,58.0,34.2,5.1,9.5,0.54,4.8,8.7,0.5539999999999999,0.3,0.8,0.378,4.6,5.8,0.78,2.6,5.6,8.2,0.7,0.8,1.8,1.8,2.2,15.1,7.18,2006,PF,20,2.3,0.1,0.1,0.2,2.3
Andrew Bogut,Utah,68.0,68.0,32.7,6.6,10.9,0.603,6.4,10.4,0.616,0.2,0.5,0.361,3.2,4.7,0.674,3.5,7.6,11.1,2.3,0.7,1.6,2.7,2.3,16.6,4.53,2006,PF,21,7.0,2.3,0.6,0.8,9.4
Kevin Burleson,Minnesota,123.0,61.0,27.0,2.2,6.0,0.371,1.0,2.3,0.434,1.2,3.6,0.331,1.4,1.9,0.7509999999999999,0.5,1.8,2.4,3.6,1.3,0.3,2.0,2.1,7.0,8.21,2006,PG,26,0.7,1.2,0.7,0.1,1.8
Travis Diener,Marquette,120.0,89.0,31.4,4.3,10.2,0.416,1.9,4.5,0.42,2.4,5.7,0.413,3.2,3.8,0.8370000000000001,0.5,2.6,3.1,5.1,1.3,0.1,1.9,2.1,14.1,5.22,2006,PG,23,0.9,0.7,0.3,0.0,3.8
Ike Diogu,Arizona State,91.0,91.0,35.1,6.8,11.9,0.5710000000000001,6.3,10.7,0.591,0.5,1.2,0.387,7.4,9.4,0.7859999999999999,3.4,5.5,8.8,1.2,0.4,1.7,3.4,2.8,21.4,6.66,2006,PF,22,3.3,0.4,0.2,0.4,7.0
Daniel Ewing,Duke,138.0,79.0,27.7,3.9,9.0,0.4320000000000001,2.3,5.0,0.464,1.6,4.0,0.392,2.2,2.9,0.746,0.8,1.9,2.8,2.1,1.4,0.2,1.9,2.6,11.6,9.61,2006,SG,22,1.3,1.3,0.6,0.1,3.8
Noel Felix,Fresno State,128.0,52.0,17.3,2.3,4.5,0.501,2.2,4.3,0.518,0.1,0.3,0.212,0.8,1.4,0.583,1.4,2.8,3.7,0.4,0.5,0.9,1.5,2.0,5.4,3.59,2006,SF,24,1.1,0.2,0.2,0.3,1.5
Raymond Felton,UNC,101.0,100.0,33.9,4.1,9.7,0.423,2.4,5.1,0.467,1.7,4.6,0.375,2.6,3.5,0.731,0.7,3.4,4.1,6.9,1.9,0.3,3.6,2.3,12.5,11.0,2006,PG,21,3.3,5.6,1.3,0.1,11.9
Gerald Fitch,Kentucky,127.0,107.0,26.3,3.6,8.0,0.452,2.1,4.1,0.507,1.6,4.0,0.396,2.1,2.9,0.736,1.3,2.9,4.2,1.8,1.2,0.1,1.6,1.9,11.0,10.23,2006,PG,23,1.7,1.8,0.4,0.3,4.7
Sharrod Ford,Clemson,118.0,87.0,23.9,3.8,7.1,0.54,3.8,7.0,0.5429999999999999,0.0,0.0,0.0,2.2,3.8,0.57,2.6,3.8,6.5,0.6,0.5,1.5,1.9,2.7,9.8,7.62,2006,PF,24,1.0,0.0,0.0,0.3,1.3
Channing Frye,Arizona,133.0,119.0,27.7,5.3,9.5,0.562,5.3,9.3,0.568,0.0,0.2,0.261,2.8,3.7,0.759,2.8,4.6,7.3,1.3,0.6,1.9,1.4,2.8,13.5,9.02,2006,C,22,5.8,0.8,0.5,0.7,12.3
Deng Gai,Fairfield,100.0,89.0,29.5,4.6,9.8,0.473,3.9,7.6,0.513,0.7,2.2,0.335,2.7,3.7,0.736,2.0,5.0,7.0,1.0,0.6,4.4,2.2,3.0,12.7,-2.74,2006,C,23,0.0,0.0,0.0,0.0,0.0
Francisco Garcia,Louisville,98.0,80.0,28.1,4.7,10.5,0.448,2.9,5.5,0.519,1.8,5.0,0.369,3.2,3.7,0.8490000000000001,1.2,2.7,3.9,3.5,1.5,1.4,2.4,2.7,14.4,6.66,2006,SF,24,2.8,1.4,0.6,0.7,5.6
Ryan Gomes,Providence,116.0,115.0,35.1,6.8,13.0,0.519,6.1,11.0,0.5489999999999999,0.7,2.0,0.35200000000000004,4.2,5.3,0.789,3.3,5.5,8.9,2.3,1.6,0.4,2.3,2.1,18.4,7.36,2006,PF,23,4.9,1.0,0.6,0.1,7.6
Devin Green,Hampton,123.0,117.0,31.2,5.0,11.0,0.452,3.8,7.5,0.5,1.2,3.5,0.34700000000000003,3.1,4.3,0.736,2.0,4.2,6.2,2.2,1.4,0.6,2.8,2.5,14.3,-9.77,2006,SG,23,0.9,0.3,0.1,0.0,0.9
Anthony Grundy,NC State,121.0,58.0,29.4,4.9,11.3,0.4320000000000001,3.5,7.2,0.489,1.4,4.1,0.333,2.5,3.5,0.7090000000000001,1.2,3.7,4.4,2.9,2.0,0.2,2.2,1.2,13.6,8.35,2006,SG,26,1.4,0.8,0.6,0.0,4.3
Chuck Hayes,Kentucky,134.0,111.0,26.2,3.4,6.7,0.503,3.2,6.1,0.527,0.1,0.6,0.244,2.1,2.9,0.733,2.6,4.4,6.9,2.2,1.3,1.0,1.6,2.3,9.0,9.49,2006,PF,22,4.5,0.4,0.7,0.4,3.7
Luther Head,Illinois,128.0,84.0,25.4,3.5,7.5,0.473,1.9,3.2,0.594,1.6,4.3,0.382,1.4,1.9,0.752,0.7,2.5,3.1,2.5,1.2,0.2,1.5,1.5,10.1,8.06,2006,SG,23,3.3,2.7,1.1,0.1,8.8
Julius Hodge,NC State,129.0,125.0,33.0,5.2,10.9,0.473,4.3,8.2,0.52,0.9,2.7,0.329,4.6,6.1,0.76,2.0,4.0,6.0,3.5,1.2,0.6,2.6,2.5,15.8,8.87,2006,SG,22,0.5,0.4,0.1,0.0,0.9
Jarrett Jack,Georgia Tech,101.0,100.0,32.3,4.0,8.4,0.478,3.1,5.9,0.53,0.9,2.6,0.359,3.6,4.5,0.7959999999999999,0.4,4.0,4.5,5.4,1.8,0.1,3.3,2.0,12.5,9.64,2006,SG,22,2.0,2.8,0.5,0.0,6.7
Amir Johnson,Radford,120.0,117.0,34.5,3.4,8.8,0.389,2.2,5.1,0.426,1.3,3.7,0.338,2.2,3.2,0.6679999999999999,0.4,3.5,4.0,5.0,1.6,0.1,3.3,2.7,10.2,-4.67,2006,SF,18,1.3,1.0,0.0,0.7,6.7
Linas Kleiza,Missouri,49.0,28.0,28.7,4.7,11.3,0.413,3.9,8.6,0.453,0.8,2.8,0.287,4.3,6.1,0.7070000000000001,2.5,5.4,7.9,1.3,0.6,0.3,2.4,2.9,14.4,9.14,2006,PF,21,1.9,0.2,0.2,0.2,3.5
David Lee,Florida,127.0,95.0,25.0,4.3,7.4,0.581,4.3,7.3,0.584,0.0,0.0,0.0,2.8,4.0,0.6809999999999999,2.2,4.6,6.8,2.0,0.9,0.9,2.1,2.2,11.3,8.11,2006,SF,22,4.5,0.6,0.4,0.3,5.1
Jason Maxiell,Cincinnati,129.0,95.0,27.6,4.4,8.6,0.507,4.3,8.5,0.509,0.0,0.1,0.28600000000000003,3.4,5.2,0.653,2.8,4.3,7.0,0.7,0.7,1.9,1.5,2.6,12.1,6.76,2006,PF,22,1.1,0.1,0.2,0.2,2.3
Sean May,UNC,77.0,75.0,27.8,5.7,11.2,0.513,5.7,11.1,0.519,0.0,0.1,0.0,4.3,6.0,0.7170000000000001,3.5,6.5,10.0,1.5,1.3,1.2,2.4,2.4,15.8,11.0,2006,PF,21,4.7,1.0,0.7,0.5,8.2
Rashad McCants,UNC,98.0,90.0,29.2,6.3,12.9,0.486,4.0,7.4,0.5379999999999999,2.3,5.4,0.415,2.8,3.8,0.721,1.5,2.6,4.1,2.1,1.5,0.6,2.2,2.4,17.6,11.0,2006,SG,21,1.8,0.8,0.6,0.3,7.9
Aaron Miles,Kansas,138.0,137.0,31.1,2.9,6.9,0.415,2.1,4.7,0.45,0.8,2.2,0.342,2.1,2.7,0.755,0.5,2.8,3.3,6.9,1.9,0.2,3.0,1.8,8.6,10.04,2006,PG,22,0.7,1.3,0.2,0.1,0.8
Chris Paul,Wake Forest,63.0,62.0,33.5,4.4,9.3,0.472,3.0,6.4,0.473,1.4,2.9,0.47,4.9,5.8,0.838,0.7,3.2,3.9,6.3,2.5,0.2,2.7,2.6,15.0,10.65,2006,PG,20,5.1,7.8,2.2,0.1,16.1
Josh Powell,NC State,65.0,60.0,23.1,3.7,6.6,0.5529999999999999,3.5,6.1,0.579,0.2,0.6,0.289,2.2,3.0,0.7290000000000001,2.0,2.6,4.5,1.0,0.5,1.1,2.0,2.5,9.7,7.87,2006,PF,23,2.2,0.2,0.2,0.1,3.0
Shavlik Randolph,Duke,92.0,36.0,17.5,2.2,4.4,0.506,2.1,3.9,0.532,0.1,0.5,0.28600000000000003,1.7,2.7,0.64,1.9,2.4,4.3,0.6,0.8,1.4,1.1,2.8,6.3,9.76,2006,PF,22,2.3,0.3,0.3,0.2,2.3
Anthony Roberson,Florida,93.0,74.0,29.4,5.5,12.5,0.444,2.7,5.3,0.501,2.9,7.2,0.402,2.3,2.6,0.8640000000000001,0.6,2.0,2.5,2.6,1.0,0.1,1.8,1.8,16.2,8.02,2006,PG,22,0.4,0.3,0.1,0.0,2.2
Nate Robinson,Washington,89.0,66.0,28.2,5.0,11.0,0.457,3.6,6.9,0.523,1.4,4.1,0.348,3.0,3.7,0.7929999999999999,1.6,2.3,3.9,3.2,1.6,0.1,2.0,2.6,14.4,7.12,2006,PG,21,2.3,2.0,0.8,0.0,9.3
Melvin Sanders,Oklahoma State,94.0,94.0,28.5,3.7,8.7,0.431,2.4,4.8,0.501,1.3,3.9,0.345,1.1,1.7,0.639,1.1,3.3,4.4,1.3,1.4,0.3,1.5,2.8,9.9,6.65,2006,SG,25,1.4,0.2,0.3,0.0,2.6
Luke Schenscher,Georgia Tech,118.0,90.0,22.3,3.0,5.6,0.542,3.0,5.6,0.5429999999999999,0.0,0.0,0.4,1.3,2.1,0.632,2.0,3.5,5.4,0.8,0.6,1.3,1.7,2.4,7.4,9.4,2006,C,23,1.5,0.4,0.1,0.2,1.8
Wayne Simien,Kansas,106.0,69.0,26.6,5.5,9.9,0.5579999999999999,5.5,9.7,0.5660000000000001,0.1,0.2,0.24,3.9,5.0,0.784,2.8,5.5,8.3,0.9,0.7,0.7,1.7,2.3,15.0,10.04,2006,PF,22,2.0,0.2,0.3,0.0,3.4
James Singleton,Murray State,60.0,53.0,31.4,5.0,8.8,0.5670000000000001,4.7,8.1,0.579,0.3,0.7,0.429,3.3,4.1,0.794,3.7,6.9,10.5,1.5,1.1,1.9,2.0,3.0,13.5,-2.37,2006,SF,24,3.3,0.5,0.3,0.4,3.4
Salim Stoudamire,Arizona,129.0,117.0,29.8,4.8,10.1,0.471,2.1,4.3,0.488,2.7,5.8,0.458,3.0,3.5,0.87,0.4,1.8,2.2,2.0,0.8,0.1,2.0,2.2,15.2,9.02,2006,SG,23,1.9,1.2,0.4,0.0,9.7
Donell Taylor,Alabama-Birmingham,65.0,40.0,23.2,4.1,8.7,0.473,3.2,5.9,0.535,1.0,2.8,0.341,2.4,3.3,0.732,1.1,2.6,3.7,2.4,1.8,0.4,2.3,2.4,11.6,5.21,2006,SG,23,1.0,0.9,0.6,0.1,2.7
Dijon Thompson,UCLA,117.0,72.0,27.8,4.6,10.0,0.464,3.5,6.8,0.51,1.1,3.1,0.362,2.1,2.7,0.7809999999999999,1.4,3.3,4.7,2.0,1.1,0.3,2.4,1.8,12.5,8.61,2006,SG,22,1.1,0.1,0.3,0.1,2.8
Ronny Turiaf,Gonzaga,127.0,73.0,25.5,4.2,8.2,0.518,4.2,8.0,0.524,0.0,0.1,0.222,5.1,7.1,0.715,2.1,4.7,6.8,1.0,0.5,1.4,2.1,2.9,13.6,3.06,2006,C,23,1.6,0.3,0.1,0.4,2.0
Charlie Villanueva,UConn,63.0,35.0,22.3,4.3,8.3,0.518,3.9,7.4,0.534,0.4,1.0,0.393,2.2,3.2,0.6809999999999999,2.2,4.6,6.7,1.0,0.4,1.7,1.7,2.2,11.2,7.7,2006,PF,21,6.4,1.1,0.7,0.8,13.0
