Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,Year,Pos,Age,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
Kirk Haston,Indiana,96.0,28.0,26.8,5.7,12.0,0.473,5.4,11.2,0.48,0.3,0.7,0.366,3.0,4.2,0.7170000000000001,2.4,6.3,7.8,1.2,0.8,1.1,2.0,2.7,14.6,10.88,2002,PF,22,1.3,0.3,0.0,0.1,1.7
Steven Hunter,DePaul,63.0,27.0,24.6,4.0,6.8,0.586,4.0,6.8,0.589,0.0,0.0,0.0,1.9,3.2,0.6,2.2,3.4,4.7,0.4,0.2,2.0,1.6,2.2,9.9,7.92,2002,C,20,1.8,0.1,0.1,0.8,3.6
Richard Jefferson,Arizona,84.0,34.0,26.3,4.0,8.1,0.49,3.3,6.2,0.528,0.7,1.9,0.368,2.5,3.5,0.718,1.7,3.8,5.0,2.8,0.6,0.8,2.7,2.6,11.2,10.19,2002,SF,21,3.7,1.8,0.8,0.6,9.4
Joe Johnson,Arkansas,53.0,41.0,30.3,5.7,12.2,0.466,4.5,9.3,0.485,1.2,2.9,0.406,2.4,3.2,0.753,2.2,4.2,6.1,2.4,1.7,0.5,2.5,1.7,15.0,6.96,2002,SG,20,3.3,2.3,0.8,0.3,7.5
Alvin Jones,Georgia Tech,124.0,30.0,31.5,3.6,7.4,0.489,3.6,7.4,0.491,0.0,0.0,0.0,3.3,5.8,0.574,2.4,8.0,8.7,1.4,0.7,3.4,3.0,2.2,10.6,9.22,2002,C,23,1.6,0.1,0.1,0.4,1.1
Terence Morris,Maryland,136.0,36.0,29.8,4.7,9.6,0.495,4.0,7.4,0.542,0.7,2.2,0.338,2.5,3.2,0.78,2.5,5.2,6.8,1.7,1.2,1.9,2.2,1.9,12.7,10.41,2002,SF,23,3.1,0.9,0.3,0.4,3.8
Troy Murphy,Notre Dame,94.0,29.0,35.1,7.2,14.6,0.496,6.6,12.5,0.522,0.7,2.0,0.335,6.2,8.0,0.777,3.1,6.1,9.8,1.7,1.2,1.3,3.0,2.9,21.4,6.35,2002,PF,21,3.9,0.9,0.4,0.3,5.9
Zach Randolph,Michigan State,33.0,8.0,19.8,4.2,7.1,0.5870000000000001,4.2,7.1,0.59,0.0,0.0,0.0,2.4,3.8,0.635,3.1,3.6,6.7,1.0,0.7,0.7,1.6,1.8,10.8,9.54,2002,PF,20,1.7,0.3,0.2,0.1,2.8
Jason Richardson,Michigan State,70.0,32.0,21.7,3.7,7.4,0.503,2.9,5.3,0.551,0.8,2.1,0.383,1.4,2.1,0.649,1.8,4.1,5.0,1.4,0.8,0.5,1.1,1.9,9.6,9.73,2002,SG,21,4.3,3.0,1.3,0.4,14.4
Norm Richardson,Hofstra,121.0,30.0,32.7,4.8,11.8,0.41,3.2,7.2,0.452,1.6,4.6,0.345,2.6,3.7,0.695,1.5,4.4,4.9,2.1,1.1,0.3,3.3,0.8,13.9,-5.0,2002,SG,22,0.7,0.2,0.0,0.0,2.7
Jeryl Sasser,SMU,117.0,28.0,35.0,5.8,14.6,0.394,4.6,10.6,0.438,1.1,4.1,0.28,4.4,6.2,0.71,3.5,4.9,8.3,3.2,1.7,0.6,2.7,1.3,17.0,2.13,2002,SG,22,1.0,0.3,0.4,0.0,1.4
Kenny Satterfield,Cincinnati,68.0,34.0,31.5,3.9,9.8,0.403,3.0,6.8,0.4370000000000001,1.0,3.0,0.32299999999999995,3.1,3.9,0.78,1.2,3.5,4.1,5.2,1.4,0.1,3.3,2.4,11.9,8.17,2002,PG,20,1.4,3.0,0.9,0.0,5.3
Brian Scalabrine,USC,92.0,33.0,33.0,5.7,11.2,0.513,5.2,9.7,0.5379999999999999,0.5,1.5,0.343,3.7,4.8,0.77,2.1,3.9,6.1,2.7,1.0,0.9,3.4,2.7,15.7,9.08,2002,PF,23,1.8,0.8,0.3,0.1,2.1
Bobby Simmons,DePaul,93.0,28.0,31.6,4.3,10.1,0.428,3.0,6.2,0.49,1.3,3.9,0.331,3.6,4.6,0.7829999999999999,2.6,5.9,7.5,2.2,1.3,0.2,2.5,2.9,13.6,7.91,2002,SF,21,1.7,0.6,0.4,0.2,3.7
Will Solomon,Clemson,94.0,28.0,29.1,5.0,12.7,0.392,2.7,6.5,0.418,2.3,6.2,0.366,3.0,4.1,0.7170000000000001,0.6,2.3,2.8,2.6,1.2,0.4,3.4,2.5,15.2,7.43,2002,SG,23,1.1,1.5,0.6,0.1,5.2
Jamaal Tinsley,Iowa State,68.0,68.0,32.5,4.2,10.8,0.388,3.4,8.4,0.405,0.8,2.3,0.327,3.4,4.9,0.685,0.6,3.2,4.5,6.3,2.6,0.8,4.0,2.9,12.5,6.0,2002,PG,23,3.7,8.1,1.7,0.5,9.4
Jeff Trepagnier,USC,106.0,17.0,31.3,4.1,8.6,0.471,3.5,6.7,0.521,0.6,1.9,0.298,1.9,2.9,0.659,2.0,3.1,5.2,1.4,1.9,1.0,2.0,2.1,10.6,8.68,2002,SG,22,1.0,1.0,0.7,0.3,1.5
Gerald Wallace,Alabama,36.0,2.0,22.9,3.5,8.0,0.438,3.2,6.3,0.511,0.3,1.8,0.175,2.4,4.3,0.568,2.3,3.7,6.0,1.5,1.2,1.0,2.4,2.4,9.8,6.27,2002,SF,19,1.6,0.5,0.4,0.1,3.2
Earl Watson,UCLA,129.0,32.0,34.5,4.0,8.9,0.45,3.0,5.9,0.507,1.0,3.0,0.341,2.2,3.3,0.654,1.3,2.3,3.8,4.7,1.8,0.4,3.5,2.2,11.2,10.51,2002,PG,22,1.3,2.0,0.9,0.1,3.6
Rodney White,Charlotte,28.0,26.0,30.9,6.7,13.8,0.487,5.5,10.4,0.5329999999999999,1.2,3.4,0.34700000000000003,4.1,5.7,0.713,1.8,4.7,6.5,1.5,1.2,0.7,2.9,2.6,18.7,7.91,2002,SF,21,1.1,0.8,0.6,0.1,3.5
Robert Archibald,Illinois,130.0,33.0,16.2,2.0,3.5,0.57,2.0,3.5,0.5710000000000001,0.0,0.0,0.0,2.2,3.2,0.6809999999999999,2.0,3.1,4.1,0.8,0.5,0.6,1.6,3.0,6.2,10.69,2003,PF,22,1.4,0.3,0.0,0.3,1.6
Lonny Baxter,Maryland,138.0,70.0,24.4,5.2,9.3,0.5529999999999999,5.1,9.3,0.5529999999999999,0.0,0.0,0.6,3.1,5.2,0.6,2.5,5.5,7.2,0.7,0.9,1.6,1.6,3.0,13.5,9.73,2003,C,24,3.0,0.3,0.2,0.4,4.8
Carlos Boozer,Duke,101.0,63.0,25.9,5.5,8.7,0.631,5.5,8.7,0.632,0.0,0.0,0.0,3.9,5.3,0.741,2.7,5.0,7.2,1.1,1.0,0.7,1.6,2.9,14.9,10.0,2003,PF,21,7.5,1.3,0.7,0.6,10.0
Devin Brown,UTSA,105.0,50.0,32.0,6.1,14.7,0.411,4.4,9.5,0.468,1.6,5.2,0.309,4.6,6.2,0.733,2.2,5.7,7.2,2.7,1.8,0.4,2.8,2.2,18.3,-6.8,2003,SG,24,1.8,0.7,0.4,0.1,3.0
Caron Butler,UConn,63.0,62.0,34.5,6.4,13.8,0.465,5.7,11.9,0.482,0.7,1.9,0.364,4.5,5.9,0.768,3.3,4.3,7.6,3.0,2.1,0.3,2.7,2.4,18.0,6.43,2003,SF,22,5.1,2.7,1.8,0.4,15.4
Rasual Butler,La Salle,110.0,60.0,38.3,6.8,16.7,0.409,4.3,9.6,0.447,2.6,7.1,0.359,3.1,3.7,0.8290000000000001,2.1,4.8,5.9,1.6,1.0,1.1,2.7,1.8,19.3,3.11,2003,SG,23,2.6,1.3,0.3,0.6,7.5
Juan Dixon,Maryland,141.0,72.0,28.4,5.7,12.1,0.468,4.0,7.8,0.513,1.7,4.4,0.389,3.0,3.6,0.85,1.3,3.1,4.2,2.6,2.4,0.2,2.5,2.0,16.1,9.73,2003,PG,24,1.7,1.0,0.6,0.1,6.4
Melvin Ely,Fresno State,124.0,61.0,32.5,6.4,11.0,0.5770000000000001,6.4,11.0,0.578,0.0,0.0,0.333,3.0,4.6,0.648,2.9,5.3,7.5,1.1,0.8,2.9,2.4,2.3,15.7,4.4,2003,C,24,3.3,0.3,0.2,0.6,4.5
Reggie Evans,Iowa,69.0,66.0,34.4,4.7,9.7,0.486,4.7,9.6,0.486,0.0,0.0,0.5,5.9,9.4,0.625,3.8,7.7,11.5,1.4,1.2,0.6,3.3,3.0,15.3,9.3,2003,PF,22,6.6,0.5,0.6,0.2,3.2
Dan Gadzuric,UCLA,122.0,62.0,24.1,4.5,8.2,0.5479999999999999,4.5,8.2,0.5489999999999999,0.0,0.0,0.0,1.6,3.5,0.449,2.9,5.2,6.6,0.6,0.7,1.5,1.8,2.8,10.5,10.45,2003,C,24,4.0,0.2,0.4,1.1,3.4
Drew Gooden,Kansas,98.0,64.0,26.2,6.1,12.3,0.493,5.9,11.7,0.503,0.2,0.6,0.306,3.3,4.7,0.698,3.0,7.1,9.2,1.6,1.1,1.1,2.6,2.5,15.6,9.39,2003,SF-PF,21,6.5,1.2,0.8,0.5,12.5
Marcus Haislip,Tennessee,89.0,25.0,17.1,3.1,5.9,0.53,2.7,4.7,0.568,0.4,1.1,0.373,1.7,2.5,0.705,1.4,2.9,3.4,0.5,0.3,1.3,1.1,2.4,8.4,9.77,2003,PF,22,1.4,0.2,0.2,0.5,4.1
Casey Jacobsen,Stanford,95.0,64.0,31.8,5.8,12.2,0.47,3.4,6.8,0.505,2.3,5.5,0.4270000000000001,4.3,5.6,0.7709999999999999,1.1,3.1,3.8,2.7,0.5,0.1,2.0,1.4,18.1,8.67,2003,SF,21,1.2,1.0,0.5,0.1,5.1
Jared Jeffries,Indiana,70.0,70.0,32.6,5.0,11.2,0.45,4.5,9.5,0.472,0.6,1.7,0.325,3.8,5.8,0.643,2.4,4.8,7.2,2.2,1.2,1.3,2.9,2.7,14.4,11.56,2003,SF,21,2.9,0.8,0.4,0.3,4.0
Fred Jones,Oregon,125.0,60.0,28.2,4.4,9.2,0.481,3.3,5.7,0.568,1.2,3.5,0.338,3.1,3.9,0.805,1.9,3.6,5.0,2.9,1.2,0.6,2.4,2.5,13.2,8.05,2003,SG,23,0.5,0.3,0.3,0.1,1.2
Sean Lampley,California,123.0,31.0,32.1,5.4,10.9,0.494,5.2,10.2,0.512,0.1,0.7,0.21,3.6,5.3,0.6709999999999999,1.5,5.7,7.2,2.4,0.7,0.6,3.1,2.0,14.4,8.38,2003,SF,23,2.4,0.9,0.2,0.1,4.8
Tito Maddox,Fresno State,25.0,24.0,32.3,4.4,11.2,0.391,3.6,8.4,0.4270000000000001,0.8,2.8,0.28600000000000003,3.9,5.5,0.703,1.2,4.5,5.8,8.0,1.6,0.2,5.2,2.7,13.5,5.14,2003,SG,21,0.8,0.6,0.3,0.1,1.2
Roger Mason,Virginia,89.0,57.0,29.6,4.4,10.0,0.436,2.8,5.9,0.479,1.5,4.1,0.375,3.6,4.1,0.8690000000000001,0.8,2.7,3.0,2.6,1.0,0.4,2.2,2.3,13.8,7.61,2003,SF,22,0.7,0.7,0.2,0.0,1.8
